Year,State,Month,Total_sales
2010,AK,10,16314.354838709678
2010,AL,10,213982.03225806452
2010,AR,10,120482.90322580645
2010,AZ,10,187001.35483870967
2010,CA,10,726006.7741935484
2010,CO,10,137655.06451612903
2010,CT,10,72135.3870967742
2010,DC,10,28439.967741935485
2010,DE,10,27526.064516129034
2010,FL,10,601314.3225806452
2010,GA,10,329632.2580645161
2010,HI,10,28314.967741935485
2010,IA,10,112259.83870967742
2010,ID,10,53192.41935483871
2010,IL,10,346669.1935483871
2010,IN,10,255305.16129032258
2010,KS,10,94890.3870967742
2010,KY,10,222124.16129032258
2010,LA,10,230638.2258064516
2010,MA,10,142975.29032258064
2010,MD,10,146490.32258064515
2010,ME,10,31530.74193548387
2010,MI,10,258329.90322580645
2010,MN,10,168455.35483870967
2010,MO,10,193631.16129032258
2010,MS,10,127253.54838709677
2010,MT,10,33487.51612903226
2010,NC,10,314841.32258064515
2010,ND,10,31587
2010,NE,10,69612.06451612903
2010,NH,10,27640.09677419355
2010,NJ,10,187426.06451612903
2010,NM,10,59174.83870967742
2010,NV,10,86294.2258064516
2010,NY,10,362721.03225806454
2010,OH,10,371483.32258064515
2010,OK,10,134479.7741935484
2010,OR,10,116378.70967741935
2010,PA,10,353961.48387096776
2010,RI,10,19252.548387096773
2010,SC,10,193103.74193548388
2010,SD,10,26334.1935483871
2010,TN,10,246486
2010,TX,10,920472.5483870967
2010,UT,10,72558.35483870968
2010,VA,10,254038.35483870967
2010,VT,10,14224.09677419355
2010,WA,10,221259.38709677418
2010,WI,10,172646.35483870967
2010,WV,10,77376.25806451614
2010,WY,10,45764.25806451613
2011,AK,10,16431
2011,AL,10,208420.74193548388
2011,AR,10,117270.06451612903
2011,AZ,10,189941.03225806452
2011,CA,10,712024.7419354839
2011,CO,10,136685
2011,CT,10,72281.12903225806
2011,DC,10,28410.032258064515
2011,DE,10,27686.225806451614
2011,FL,10,594655.8387096775
2011,GA,10,317741.2580645161
2011,HI,10,27737.032258064515
2011,IA,10,112354.70967741935
2011,ID,10,54408.74193548387
2011,IL,10,345168.1935483871
2011,IN,10,262097.96774193548
2011,KS,10,94994.58064516129
2011,KY,10,227564.1935483871
2011,LA,10,224715.48387096773
2011,MA,10,139441.5483870968
2011,MD,10,145964.96774193548
2011,ME,10,29538.58064516129
2011,MI,10,262227.1935483871
2011,MN,10,171424.03225806452
2011,MO,10,193083.74193548388
2011,MS,10,122707.96774193548
2011,MT,10,35830.096774193546
2011,NC,10,307076.7419354839
2011,ND,10,34139.16129032258
2011,NE,10,71008.29032258065
2011,NH,10,28110.8064516129
2011,NJ,10,182171.64516129033
2011,NM,10,58101.032258064515
2011,NV,10,86135.58064516129
2011,NY,10,366513.06451612903
2011,OH,10,378689.4516129032
2011,OK,10,139471.25806451612
2011,OR,10,115439
2011,PA,10,364126.67741935485
2011,RI,10,19271.58064516129
2011,SC,10,190838.48387096773
2011,SD,10,27750.1935483871
2011,TN,10,233272.35483870967
2011,TX,10,959833.8064516129
2011,UT,10,74376.87096774194
2011,VA,10,254934.16129032258
2011,VT,10,14104.90322580645
2011,WA,10,226468.64516129033
2011,WI,10,172197.03225806452
2011,WV,10,75796.41935483871
2011,WY,10,43975.967741935485
2012,AK,10,16483.354838709678
2012,AL,10,211783.29032258064
2012,AR,10,117220.19354838709
2012,AZ,10,191398.83870967742
2012,CA,10,768281.9032258064
2012,CO,10,137214.03225806452
2012,CT,10,69301.03225806452
2012,DC,10,27376.645161290322
2012,DE,10,26763.612903225807
2012,FL,10,606943.1612903225
2012,GA,10,319893.93548387097
2012,HI,10,27234.645161290322
2012,IA,10,114726.7741935484
2012,ID,10,56699.6129032258
2012,IL,10,352320.4193548387
2012,IN,10,258497.5806451613
2012,KS,10,96079.3870967742
2012,KY,10,223237
2012,LA,10,221765
2012,MA,10,137131.67741935485
2012,MD,10,143636.1935483871
2012,ME,10,31994.41935483871
2012,MI,10,265728.8064516129
2012,MN,10,170957.5483870968
2012,MO,10,193117.67741935485
2012,MS,10,125324
2012,MT,10,34132.354838709674
2012,NC,10,312172.8387096774
2012,ND,10,37946.22580645161
2012,NE,10,72383.29032258065
2012,NH,10,27063.548387096773
2012,NJ,10,176988.96774193548
2012,NM,10,59478.709677419356
2012,NV,10,87995.93548387097
2012,NY,10,360110
2012,OH,10,375083.1612903226
2012,OK,10,142275.1935483871
2012,OR,10,118107.48387096774
2012,PA,10,357800.3870967742
2012,RI,10,19442.83870967742
2012,SC,10,194780
2012,SD,10,28283.967741935485
2012,TN,10,229587.06451612903
2012,TX,10,958232.8387096775
2012,UT,10,77454.83870967742
2012,VA,10,260230.4193548387
2012,VT,10,13795.516129032258
2012,WA,10,227241.35483870967
2012,WI,10,173112.09677419355
2012,WV,10,80041.19354838709
2012,WY,10,43712.25806451613
2013,AK,10,16279.451612903225
2013,AL,10,225272.87096774194
2013,AR,10,123996.93548387097
2013,AZ,10,177735.29032258064
2013,CA,10,714574.4516129033
2013,CO,10,135972.5806451613
2013,CT,10,68916
2013,DC,10,27659.774193548386
2013,DE,10,26554.1935483871
2013,FL,10,623829.1935483871
2013,GA,10,330428.67741935485
2013,HI,10,27008.064516129034
2013,IA,10,118508.32258064517
2013,ID,10,55298.6129032258
2013,IL,10,354937.9032258064
2013,IN,10,263744.77419354836
2013,KS,10,99427.03225806452
2013,KY,10,192486.8064516129
2013,LA,10,235485.32258064515
2013,MA,10,134820.25806451612
2013,MD,10,144827.51612903227
2013,ME,10,32516.967741935485
